ID,Work Item Type,Title,Assigned To,State,Tags,Horas,Criterios_INVEST,Tokens,Complejidad
"250","User Story","Como usuario quiero iniciar sesión para acceder al sistema","","Closed","Training,Media",8,5,12,"Media"
"251","User Story","Como administrador quiero gestionar usuarios para mantener seguridad","","Closed","Training,Alta",12,4,10,"Alta"
"252","User Story","Como cliente quiero comprar productos online para adquirir desde casa","","Closed","Training,Alta",16,6,13,"Alta"
"253","User Story","Como usuario quiero recuperar contraseña por email para acceso","","Closed","Training,Baja",6,5,11,"Baja"
"254","User Story","Como vendedor quiero publicar productos con fotos para mostrar inventario","","Closed","Training,Media",10,5,12,"Media"
"255","User Story","Como comprador quiero filtrar productos por categoría para encontrar necesario","","Closed","Training,Media",14,4,13,"Media"
"256","User Story","Como usuario quiero recibir notificaciones de ofertas para aprovechar descuentos","","Closed","Training,Baja",8,4,12,"Baja"
"257","User Story","Como administrador quiero generar reportes mensuales para análisis financiero","","Closed","Training,Alta",18,5,11,"Alta"
"258","User Story","Como cliente quiero rastrear pedidos en tiempo real para conocer estado","","Closed","Training,Media",12,6,13,"Media"
"259","User Story","Como usuario quiero personalizar perfil con foto para identificarme","","Closed","Training,Baja",6,4,11,"Baja"
"260","User Story","Como gerente quiero dashboard ejecutivo para tomar decisiones estratégicas","","Closed","Training,Alta",20,3,10,"Alta"
"261","User Story","Como cliente quiero métodos de pago múltiples para flexibilidad transaccional","","Closed","Training,Media",10,5,11,"Media"
"262","User Story","Como usuario quiero búsqueda avanzada para encontrar productos específicos","","Closed","Training,Media",14,5,10,"Media"
"263","User Story","Como vendedor quiero estadísticas de ventas para optimizar estrategia comercial","","Closed","Training,Alta",16,4,12,"Alta"
"264","User Story","Como cliente quiero wishlist para guardar productos de interés futuro","","Closed","Training,Baja",8,5,10,"Baja"
