ID,Work Item Type,Title,Assigned To,State,Tags
11,Task,Como usuario registrado quiero iniciar sesión en el sistema para acceder a mi panel personal,,To Do,"Sprint1,Alta"
12,Task,Como administrador quiero gestionar usuarios del sistema para mantener la seguridad,,To Do,"Sprint1,Alta"
13,Task,Como cliente quiero realizar compras online para adquirir productos desde casa,,To Do,"Sprint2,Media"
14,Task,Como usuario quiero recuperar mi contraseña mediante email para acceder nuevamente,,To Do,"Sprint1,Media"
15,Task,Como vendedor quiero publicar productos con fotos para mostrar mi inventario,,To Do,"Sprint2,Alta"
16,Task,Como comprador quiero filtrar productos por categoría y precio para encontrar lo que necesito,,To Do,"Sprint2,Media"
17,Task,Como usuario quiero recibir notificaciones de ofertas para aprovechar descuentos,,To Do,"Sprint3,Baja"
18,Task,Como administrador quiero generar reportes de ventas mensuales para análisis financiero,,To Do,"Sprint3,Alta"
19,Task,Como cliente quiero rastrear mis pedidos en tiempo real para conocer el estado de entrega,,To Do,"Sprint2,Alta"
20,Task,Como usuario quiero personalizar mi perfil con foto y información para identificarme mejor,,To Do,"Sprint3,Baja"
21,Task,Como usuario quiero registrarme con email y contraseña para acceder a funcionalidades personalizadas,,To Do,"Sprint3,Alta"
22,Task,Como cliente quiero filtrar productos por precio y categoría para encontrar lo que necesito fácilmente,,To Do,"Sprint3,Alta"
23,Task,Como administrador quiero exportar reportes de ventas en formato CSV para analizarlos en Excel,,To Do,"Sprint3,Media"
24,Task,Como usuario quiero recibir una notificación por correo cuando mi pedido haya sido enviado para estar informado,,To Do,"Sprint3,Alta"
25,Task,Como comprador quiero poder pagar con tarjeta de crédito y PayPal para tener opciones seguras de pago,,To Do,"Sprint4,Alta"
26,Task,Como usuario quiero ver recomendaciones de productos en la página principal,,To Do,"Sprint4,Media"
27,Task,Como administrador quiero poder cambiar configuraciones generales del sistema,,To Do,"Sprint4,Media"
28,Task,Como cliente quiero tener la opción de guardar productos en favoritos,,To Do,"Sprint4,Baja"
29,Task,Como usuario quiero poder actualizar mis datos personales en la configuración,,To Do,"Sprint4,Media"
30,Task,Como vendedor quiero recibir un resumen semanal de mis ventas,,To Do,"Sprint4,Media"
31,Task,Quiero que el sistema sea rápido y eficiente para que los usuarios estén felices,,To Do,"Sprint5,Baja"
32,Task,El administrador debería tener todas las opciones posibles para gestionar cosas en el sistema,,To Do,"Sprint5,Media"
33,Task,Como usuario quiero todo lo que sea necesario para mejorar mi experiencia,,To Do,"Sprint5,Baja"
34,Task,"Como cliente quiero poder hacer compras, devoluciones, chatear con soporte y cambiar mi dirección en la misma pantalla",,To Do,"Sprint5,Alta"
35,Task,Como empresa quiero que la plataforma sea escalable y fácil de usar,,To Do,"Sprint5,Alta"
